x,y,gmt,precip_mm
-10600866.0527,3479471.1635000035,1.5,191.5265907379518
-10596224.0299,3479471.1635000035,1.5,194.44703030873495
-10591582.0071,3479471.1635000035,1.5,192.7082313629518
-10586951.1163,3479471.1635000035,1.5,196.351656626506
-10582309.0935,3479471.1635000035,1.5,197.28273249246988
-10577667.0708,3479471.1635000035,1.5,196.83464326054218
-10573036.18,3479471.1635000035,1.5,195.80878200301206
-10568394.1572,3479471.1635000035,1.5,192.9890342620482
-10665798.7116,3484822.3464,1.5,170.4762330572289
-10661156.6889,3484822.3464,1.5,171.62048192771084
-10656525.798,3484822.3464,1.5,171.91923945783134
-10651883.7753,3484822.3464,1.5,173.71385542168676
-10647241.7525,3484822.3464,1.5,174.62954160391567
-10642610.8617,3484822.3464,1.5,174.2882624246988
-10637968.8389,3484822.3464,1.5,173.97089137801206
-10633326.8162,3484822.3464,1.5,174.95441923945782
-10628695.9253,3484822.3464,1.5,180.59833866716866
-10624053.9026,3484822.3464,1.5,180.88963667168676
-10619411.8798,3484822.3464,1.5,182.74009318524097
-10614780.989,3484822.3464,1.5,183.6160109186747
-10610138.9662,3484822.3464,1.5,185.74818806475903
-10605496.9435,3484822.3464,1.5,188.55880553463857
-10600866.0527,3484822.3464,1.5,191.0234139683735
-10596224.0299,3484822.3464,1.5,192.17446347891567
-10591582.0071,3484822.3464,1.5,195.10681005271084
-10586951.1163,3484822.3464,1.5,194.04703972138554
-10582309.0935,3484822.3464,1.5,194.00058829066265
-10577667.0708,3484822.3464,1.5,196.26268354668676
-10573036.18,3484822.3464,1.5,194.51280120481928
-10670440.7344,3490162.9245000035,1.5,171.9991528614458
-10665798.7116,3490162.9245000035,1.5,172.73333960843374
-10661156.6889,3490162.9245000035,1.5,171.91022684487953
-10656525.798,3490162.9245000035,1.5,172.43225244728916
-10651883.7753,3490162.9245000035,1.5,173.58664344879517
-10647241.7525,3490162.9245000035,1.5,174.66690982680723
-10642610.8617,3490162.9245000035,1.5,175.02320218373495
-10637968.8389,3490162.9245000035,1.5,175.64384883283134
-10633326.8162,3490162.9245000035,1.5,175.06967714608433
-10628695.9253,3490162.9245000035,1.5,179.30922910391567
-10624053.9026,3490162.9245000035,1.5,179.13382435993975
-10619411.8798,3490162.9245000035,1.5,181.37831795933735
-10614780.989,3490162.9245000035,1.5,182.89636671686748
-10610138.9662,3490162.9245000035,1.5,185.2109610316265
-10605496.9435,3490162.9245000035,1.5,188.3918015813253
-10600866.0527,3490162.9245000035,1.5,189.6429310993976
-10596224.0299,3490162.9245000035,1.5,191.68138177710844
-10591582.0071,3490162.9245000035,1.5,192.6956654743976
-10586951.1163,3490162.9245000035,1.5,194.4820689006024
-10582309.0935,3490162.9245000035,1.5,194.9836219879518
-10577667.0708,3490162.9245000035,1.5,192.97023249246988
-10670440.7344,3495518.578400001,1.5,172.21783226656626
-10665798.7116,3495518.578400001,1.5,173.3000047063253
-10661156.6889,3495518.578400001,1.5,173.36850527108433
-10656525.798,3495518.578400001,1.5,172.09678557981928
-10651883.7753,3495518.578400001,1.5,173.56706513554218
-10647241.7525,3495518.578400001,1.5,175.14707266566265
-10642610.8617,3495518.578400001,1.5,176.26343655873495
-10637968.8389,3495518.578400001,1.5,177.6687688253012
-10633326.8162,3495518.578400001,1.5,176.90460278614458
-10628695.9253,3495518.578400001,1.5,178.76524849397592
-10624053.9026,3495518.578400001,1.5,180.35765719126505
-10619411.8798,3495518.578400001,1.5,182.699124623494
-10614780.989,3495518.578400001,1.5,185.23689288403614
-10610138.9662,3495518.578400001,1.5,187.31042921686748
-10605496.9435,3495518.578400001,1.5,185.33149002259037
-10600866.0527,3495518.578400001,1.5,188.05692300451807
-10596224.0299,3495518.578400001,1.5,188.94305346385542
-10591582.0071,3495518.578400001,1.5,189.4285109186747
-10586951.1163,3495518.578400001,1.5,190.31958301957832
-10582309.0935,3495518.578400001,1.5,192.47319747740963
-10577667.0708,3495518.578400001,1.5,191.48279838102408
-10670440.7344,3500876.477499999,1.5,174.72858621987953
-10665798.7116,3500876.477499999,1.5,173.91410956325302
-10661156.6889,3500876.477499999,1.5,175.26317771084337
-10656525.798,3500876.477499999,1.5,173.41345067771084
-10651883.7753,3500876.477499999,1.5,174.20545463102408
-10647241.7525,3500876.477499999,1.5,175.5414391942771
-10642610.8617,3500876.477499999,1.5,176.17225150602408
-10637968.8389,3500876.477499999,1.5,175.93413497740963
-10633326.8162,3500876.477499999,1.5,176.41001506024097
